Reference,Qty,Value,DNP,Exclude from BOM,Exclude from Board,Footprint,Description
BQ_Reg1,1,TestPoint,,,,Connector_Pin:Pin_D0.7mm_L6.5mm_W1.8mm_FlatFork,test point
C1,1,CL31B105KCHNNNE,,,,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,1 µF ±10% 100V Ceramic Capacitor X7R 1206 (3216 Metric)
C2,1,0.1 uF,,,,0805 Capacitor:CAPC2012X94N,0.1 µF ±10% 50V Ceramic Capacitor X7R 0805 (2012 Metric)
C3,1,0805 100pF +100VDC,,,,0805 Capacitor:CAPC2012X94N,0.1 µF ±10% 50V Ceramic Capacitor X7R 0805 (2012 Metric)
C4,1,100 pF,,,,0805 Capacitor:CAPC2012X94N,0.1 µF ±10% 50V Ceramic Capacitor X7R 0805 (2012 Metric)
C5,1,CL21B225KAFNNNE,,,,0805 Capacitor:CAPC2012X94N,0.1 µF ±10% 50V Ceramic Capacitor X7R 0805 (2012 Metric)
"C6,C14",2,100n 805,,,,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,"Unpolarized capacitor, small symbol"
C7,1,0.47uF,,,,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
C8,1,10u,,,,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
"C9,C10,C11,C12",4,100n,,,,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
C13,1,"22pf,0805",,,,0805 Capacitor:CAPC2012X94N,"Unpolarized capacitor, small symbol"
C15,1,"22pF,0805",,,,0805 Capacitor:CAPC2012X94N,"Unpolarized capacitor, small symbol"
"C16,C19",2,100nF,,,,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,Unpolarized capacitor
C17,1,"4.7uF,0805",,,,0805 Capacitor:CAPC2012X94N,"Unpolarized capacitor, small symbol"
C18,1,"10uF,0805",,,,0805 Capacitor:CAPC2012X94N,"Unpolarized capacitor, small symbol"
"C20,C21",2,30pF,,,,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,Unpolarized capacitor
C22,1,3.3nF,,,,Capacitor_THT:C_Disc_D10.5mm_W5.0mm_P5.00mm,Unpolarized capacitor
